"","Fecha","Semana","Día","Área","Cantidad","PrecioP","Operador","Conductor","Tiempo","Temperatura","Error","Calidad"
"869","23/03/2014",12,7,"LosAngeles",5,53.955,"Ana","Carlos",14.3,55.4,"No","Alta"
"1028","28/03/2014",13,5,"VillaNueva",3,47.97,"Maria","Camilo",10.8,51.1,"No","Alta"
"451","12/03/2014",11,3,"VillaNueva",2,29.98,"Ana","Camilo",12.9,41.1,"No","Media"
"477","13/03/2014",11,4,"LosAngeles",4,48.564,"Laura","Carlos",37.9,43.4,"No","Media"
"435","12/03/2014",11,3,"VillaNueva",2,23.98,"Ana","Camilo",21.2,56.4,"No","Alta"
"62","02/03/2014",9,7,"Prado",2,25.98,"Laura","Luis",25.6,50.3,"No","Media"
"227","07/03/2014",10,5,"LosAngeles",3,40.97,"Maria","Carlos",17.4,55,"No","Alta"
"684","18/03/2014",12,2,"Prado",1,40.568,"Maria","Camilo",26.1,53.2,"No","Alta"
"303","08/03/2014",10,6,"LosAngeles",1,15.99,"Laura","Daniel",29.1,43.7,"No","Media"
"1166","30/03/2014",13,7,"VillaNueva",3,36.97,"Maria","Carlos",11.7,55.4,"Si","Alta"
"1018","27/03/2014",13,4,"LosAngeles",3,79.08,"Ana","Carlos",32.7,34.1,"No","Baja"
"727","20/03/2014",12,4,"LosAngeles",3,47.97,"Ana","Carlos",37.7,42.3,"No","Media"
"310","09/03/2014",10,7,"LosAngeles",2,26.98,"Laura","Carlos",36.9,38.3,"No","Alta"
"897","24/03/2014",13,1,"LosAngeles",2,30.98,"Laura","Carlos",37.4,45.3,"No","Media"
"1055","28/03/2014",13,5,"Prado",3,43.97,"Maria","Carlos",12.9,49.6,"No","Alta"
"238","07/03/2014",10,5,"LosAngeles",3,74.74,"Laura","Mario",22.7,51.7,"No","Media"
"411","11/03/2014",11,2,"VillaNueva",2,49.072,"Ana","Camilo",12.1,45.4,"No","Media"
"14","01/03/2014",9,6,"Prado",1,49.95,"Laura","Camilo",38.8,35.7,"No","Baja"
"617","16/03/2014",11,7,"Prado",4,80.892,"Laura","Luis",9.4,56.3,"No","Alta"
"963","26/03/2014",13,3,"Prado",4,47.664,"Ana","Frank",18.9,57.5,"No","Alta"
"767","21/03/2014",12,5,"VillaNueva",5,67.455,"Laura","Camilo",27.4,52,"No","Media"
"544","15/03/2014",11,6,"VillaNueva",2,30.98,"Laura","Daniel",20.7,53.2,"No","Media"
"247","07/03/2014",10,5,"LosAngeles",4,53.064,"Laura","Carlos",29.1,47.1,"No","Media"
"35","01/03/2014",9,6,"LosAngeles",2,25.98,"Laura","Luis",25.9,47.6,"No","Alta"
"466","13/03/2014",11,4,"VillaNueva",1,10.99,"Maria","Camilo",24.6,52.9,"Si","Alta"
"118","04/03/2014",10,2,"VillaNueva",4,41.731,"Maria","Omar",12.2,61.3,"No","Alta"
"1049","28/03/2014",13,5,"VillaNueva",2,22.98,"Maria","Carlos",15,49.6,"No","Alta"
"13","01/03/2014",9,6,"Prado",4,46.764,"Ana","Luis",32.7,24.05,"No","Baja"
"534","15/03/2014",11,6,"LosAngeles",4,52.164,"Maria","Luis",53.8,35.2,"No","Alta"
"691","19/03/2014",12,3,"LosAngeles",2,69.6,"Maria","Camilo",19.6,61.2,"No","Alta"
"179","06/03/2014",10,4,"VillaNueva",6,68.346,"Laura","Frank",12.4,55.5,"No","Media"
"935","25/03/2014",13,2,"VillaNueva",2,19.184,"Laura","Omar",9.4,57.6,"No","Alta"
"505","14/03/2014",11,5,"Prado",2,51.5,"Laura","Frank",14.1,59.4,"No","Alta"
"947","25/03/2014",13,2,"VillaNueva",4,38.851,"Ana","Omar",12.9,57.9,"No","Alta"
"1116","29/03/2014",13,6,"LosAngeles",1,54.33,"Laura","Carlos",32,45.4,"No","Media"
"421","12/03/2014",11,3,"VillaNueva",4,46.764,"Maria","Camilo",38.7,60.8,"No","Alta"
"647","17/03/2014",12,1,"Prado",6,80.046,"Laura","Luis",38.6,43.4,"No","Media"
"578","16/03/2014",11,7,"VillaNueva",3,41.97,"Laura","Daniel",13.4,57.9,"No","Alta"
"196","06/03/2014",10,4,"LosAngeles",3,90.21,"Maria","Carlos",20.8,56.7,"No","Alta"
"1161","30/03/2014",13,7,"LosAngeles",5,71.955,"Laura","Carlos",18.2,56,"No","Alta"
"178","06/03/2014",10,4,"Prado",6,68.346,"Laura","Frank",13.7,58.4,"No","Alta"
"945","25/03/2014",13,2,"VillaNueva",4,42.451,"Laura","Omar",21.6,56.2,"No","Alta"
"970","26/03/2014",13,3,"Prado",3,41.97,"Maria","Luis",22.2,53.4,"No","Alta"
"441","12/03/2014",11,3,"Prado",2,29.98,"Maria","Luis",57.7,26.3,"No","Media"
"253","07/03/2014",10,5,"LosAngeles",3,44.97,"Ana","Carlos",51.7,23.2,"No","Baja"
"622","16/03/2014",11,7,"LosAngeles",5,62.055,"Ana","Carlos",21.6,54.1,"No","Alta"
"1089","29/03/2014",13,6,"VillaNueva",3,39.97,"Maria","Omar",27.5,45.4,"No","Alta"
"580","16/03/2014",11,7,"Prado",1,11.99,"Laura","Luis",28.6,47.8,"No","Media"
"296","08/03/2014",10,6,"Prado",7,91.737,"Ana","Luis",23.4,47.2,"No","Alta"
"434","12/03/2014",11,3,"VillaNueva",3,37.97,"Ana","Omar",11.5,41.9,"No","Media"
"23","01/03/2014",9,6,"LosAngeles",3,44.97,"Laura","Daniel",19.5,26.7,"No","Baja"
"249","07/03/2014",10,5,"LosAngeles",6,110.007,"Laura","Carlos",43,38.8,"No","Baja"
"204","06/03/2014",10,4,"VillaNueva",7,87.237,"Maria","Camilo",21.6,25.2,"No","Media"
"1148","30/03/2014",13,7,"Prado",3,43.97,"Laura","Camilo",24,53.4,"No","Media"
"128","04/03/2014",10,2,"VillaNueva",3,28.776,"Maria","Camilo",32,57.9,"No","Alta"
"200","06/03/2014",10,4,"VillaNueva",2,28.98,"Maria","Camilo",12.4,60.3,"Si","Alta"
"911","24/03/2014",13,1,"VillaNueva",5,62.055,"Laura","Carlos",11.6,59.8,"No","Alta"
"1068","28/03/2014",13,5,"VillaNueva",5,65.655,"Laura","Camilo",23.7,49.7,"No","Media"
"792","21/03/2014",12,5,"LosAngeles",5,60.255,"Maria","Camilo",44.9,35.9,"No","Alta"
"1151","30/03/2014",13,7,"LosAngeles",4,54.864,"Maria","Carlos",27.2,51.1,"No","Alta"
"671","18/03/2014",12,2,"VillaNueva",3,30.376,"Ana","Omar",19.8,42.2,"No","Media"
"1036","28/03/2014",13,5,"VillaNueva",3,38.97,"Maria","Camilo",37.4,41.1,"No","Alta"
"103","03/03/2014",10,1,"LosAngeles",1,13.99,"Maria","Mario",17.6,34.4,"No","Alta"
"458","13/03/2014",11,4,"VillaNueva",2,31.98,"Laura","Camilo",24,57.6,"No","Alta"
"1060","28/03/2014",13,5,"LosAngeles",5,65.655,"Laura","Carlos",25.7,48.7,"Si","Baja"
"689","19/03/2014",12,3,"Prado",3,42.97,"Ana","Camilo",22.4,38.9,"No","Media"
"226","07/03/2014",10,5,"VillaNueva",2,29.98,"Maria","Camilo",35.1,42.6,"Si","Media"
"917","24/03/2014",13,1,"Prado",3,45.97,"Ana","Luis",19.5,61.3,"No","Alta"
"82","02/03/2014",9,7,"Prado",3,36.97,"Laura","Frank",17.7,52.9,"No","Media"
"241","07/03/2014",10,5,"VillaNueva",5,86.364,"Maria","Camilo",20.3,53.6,"Si","Alta"
"562","15/03/2014",11,6,"VillaNueva",5,63.855,"Maria","Daniel",13.2,55.2,"No","Alta"
"1098","29/03/2014",13,6,"LosAngeles",5,55.755,"Maria","Mario",40.3,35.4,"No","Alta"
"806","22/03/2014",12,6,"Prado",3,38.97,"Laura","Luis",24.5,48.5,"No","Alta"
"950","25/03/2014",13,2,"Prado",2,19.184,"Laura","Luis",32.5,49.6,"No","Media"
"1208","31/03/2014",14,1,"VillaNueva",6,75.546,"Laura","Carlos",11,43.8,"No","Media"
"384","11/03/2014",11,2,"VillaNueva",3,28.776,"Maria","Luis",9.9,63.8,"No","Alta"
"397","11/03/2014",11,2,"Prado",5,73.174,"Maria","Camilo",46.7,43.1,"No","Alta"
