"","Fecha","Semana","Día","Área","Cantidad","PrecioP","Operador","Conductor","Tiempo","Temperatura","Error","Calidad"
"172","06/03/2014",10,4,"VillaNueva",1,11.99,"Laura","Camilo",24.7,50.2,"No","Media"
"1035","28/03/2014",13,5,"Prado",4,47.664,"Maria","Camilo",25.9,47,"No","Alta"
"987","26/03/2014",13,3,"VillaNueva",3,39.97,"Maria","Omar",16,58.3,"No","Alta"
"611","16/03/2014",11,7,"VillaNueva",2,29.98,"Ana","Luis",36.3,20.2,"No","Baja"
"856","23/03/2014",12,7,"LosAngeles",1,15.99,"Laura","Luis",40.1,55.6,"No","Baja"
"447","12/03/2014",11,3,"VillaNueva",1,10.99,"Maria","Camilo",24.9,51.7,"No","Alta"
"970","26/03/2014",13,3,"Prado",3,41.97,"Maria","Luis",22.2,53.4,"No","Alta"
"460","13/03/2014",11,4,"VillaNueva",3,44.97,"Maria","Frank",15.2,55.3,"No","Alta"
"13","01/03/2014",9,6,"Prado",4,46.764,"Ana","Luis",32.7,24.05,"No","Baja"
"1161","30/03/2014",13,7,"LosAngeles",5,71.955,"Laura","Carlos",18.2,56,"No","Alta"
"774","21/03/2014",12,5,"LosAngeles",7,78.237,"Laura","Mario",41.9,38.6,"No","Baja"
"469","13/03/2014",11,4,"Prado",3,36.97,"Laura","Frank",20.1,60.5,"No","Alta"
"32","01/03/2014",9,6,"LosAngeles",4,51.264,"Laura","Daniel",24.2,49.1,"No","Media"
"301","08/03/2014",10,6,"VillaNueva",2,28.98,"Laura","Daniel",14.1,52.1,"No","Media"
"990","27/03/2014",13,4,"Prado",2,22.98,"Maria","Camilo",53.2,52,"No","Alta"
"587","16/03/2014",11,7,"VillaNueva",4,50.364,"Laura","Omar",17.4,58.8,"No","Alta"
"622","16/03/2014",11,7,"LosAngeles",5,62.055,"Ana","Carlos",21.6,54.1,"No","Alta"
"1183","31/03/2014",14,1,"VillaNueva",2,21.98,"Laura","Carlos",14.6,42.7,"No","Baja"
"244","07/03/2014",10,5,"VillaNueva",1,15.99,"Laura","Camilo",21.6,47.7,"No","Media"
"664","18/03/2014",12,2,"VillaNueva",4,59.35,"Ana","Omar",11,42.4,"No","Media"
"1178","31/03/2014",14,1,"LosAngeles",2,26.98,"Laura","Carlos",35.6,35.4,"No","Baja"
"368","10/03/2014",11,1,"LosAngeles",3,38.97,"Ana","Carlos",34.8,45,"No","Media"
"934","25/03/2014",13,2,"Prado",7,68.35,"Ana","Luis",31.1,52.2,"No","Alta"
"840","22/03/2014",12,6,"LosAngeles",2,27.98,"Maria","Daniel",40.2,36.4,"No","Alta"
"54","02/03/2014",9,7,"Prado",3,75.47,"Laura","Luis",27.7,26.3,"No","Baja"
"538","15/03/2014",11,6,"VillaNueva",5,61.155,"Maria","Luis",17.2,54.5,"No","Alta"
"1102","29/03/2014",13,6,"LosAngeles",7,79.137,"Maria","Mario",25.6,48.7,"No","Alta"
"433","12/03/2014",11,3,"VillaNueva",8,107.028,"Maria","Luis",11.6,57.4,"No","Alta"
"125","04/03/2014",10,2,"VillaNueva",5,49.644,"Maria","Omar",14.3,35.5,"No","Alta"
"1113","29/03/2014",13,6,"VillaNueva",7,92.637,"Maria","Omar",15.1,52.1,"No","Alta"
"186","06/03/2014",10,4,"Prado",3,42.97,"Maria","Frank",23.3,25.55,"Si","Baja"
"695","19/03/2014",12,3,"Prado",5,53.055,"Ana","Camilo",30.1,37,"No","Media"
"213","07/03/2014",10,5,"LosAngeles",6,67.446,"Maria","Mario",43.4,39.8,"No","Alta"
"1017","27/03/2014",13,4,"Prado",6,80.046,"Maria","Camilo",37.8,47.8,"No","Alta"
"548","15/03/2014",11,6,"VillaNueva",3,33.97,"Laura","Luis",33.7,44.7,"No","Media"
"672","18/03/2014",12,2,"Prado",7,66.91,"Ana","Luis",23.9,59.8,"No","Alta"
"981","26/03/2014",13,3,"VillaNueva",1,13.99,"Ana","Omar",18.3,53.9,"No","Alta"
"414","11/03/2014",11,2,"Prado",5,48.204,"Maria","Luis",52.8,40.1,"Si","Media"
"1191","31/03/2014",14,1,"LosAngeles",4,48.564,"Laura","Carlos",38.9,34.8,"No","Alta"
"602","16/03/2014",11,7,"VillaNueva",3,76.5,"Ana","Omar",15,56.8,"No","Alta"
"922","25/03/2014",13,2,"VillaNueva",4,40.291,"Ana","Frank",10.1,59.6,"No","Alta"
