"","Fecha","Semana","Día","Área","Cantidad","PrecioP","Operador","Conductor","Tiempo","Temperatura","Error","Calidad"
"105","03/03/2014",10,1,"Prado",4,46.764,"Maria","Camilo",33.8,61,"No","Alta"
"955","26/03/2014",13,3,"LosAngeles",3,44.97,"Maria","Omar",16.3,56.1,"No","Alta"
"607","16/03/2014",11,7,"VillaNueva",4,52.164,"Laura","Omar",13.5,55.1,"No","Alta"
"254","08/03/2014",10,6,"VillaNueva",4,48.564,"Laura","Luis",24.4,46.3,"No","Media"
"496","14/03/2014",11,5,"LosAngeles",1,12.99,"Laura","Carlos",32,50.6,"No","Media"
"689","19/03/2014",12,3,"Prado",3,42.97,"Ana","Camilo",22.4,38.9,"No","Media"
"400","11/03/2014",11,2,"Prado",4,40.291,"Ana","Luis",29.8,55.8,"No","Alta"
"980","26/03/2014",13,3,"Prado",3,47.97,"Maria","Frank",30,54.4,"No","Alta"
"636","17/03/2014",12,1,"Prado",3,47.97,"Laura","Luis",34.8,53.1,"No","Alta"
"951","25/03/2014",13,2,"VillaNueva",2,55.56,"Ana","Omar",14.1,42.5,"No","Media"
"613","16/03/2014",11,7,"LosAngeles",6,77.346,"Laura","Carlos",13.9,53.9,"No","Alta"
"718","20/03/2014",12,4,"VillaNueva",4,57.564,"Maria","Camilo",25.7,54.8,"Si","Alta"
"570","15/03/2014",11,6,"VillaNueva",5,59.355,"Laura","Daniel",10.8,55.8,"No","Alta"
"586","16/03/2014",11,7,"LosAngeles",1,12.99,"Laura","Omar",23.4,47.4,"No","Media"
"812","22/03/2014",12,6,"Prado",2,24.98,"Laura","Luis",35.9,42.7,"No","Baja"
"488","14/03/2014",11,5,"Prado",3,35.97,"Laura","Frank",10.6,58.9,"No","Alta"
"15","01/03/2014",9,6,"VillaNueva",6,73.746,"Laura","Camilo",23,53.6,"No","Media"
"497","14/03/2014",11,5,"VillaNueva",5,56.655,"Laura","Camilo",17.9,56.4,"No","Alta"
"143","05/03/2014",10,3,"Prado",2,24.98,"Ana","Luis",29,26.75,"No","Baja"
"618","16/03/2014",11,7,"VillaNueva",4,53.064,"Ana","Luis",11.8,56.2,"No","Alta"
"477","13/03/2014",11,4,"LosAngeles",4,48.564,"Laura","Carlos",37.9,43.4,"No","Media"
"135","04/03/2014",10,2,"VillaNueva",3,33.576,"Ana","Mario",25.4,48.1,"No","Alta"
"362","10/03/2014",11,1,"LosAngeles",1,12.99,"Ana","Carlos",35.3,35.8,"No","Alta"
